City,Fuel Type,Body Type,km,price,ownerNo,Manufacturer,model,modelYear,Insurance Validity,Engine Displacement,Transmission,Mileage,Seats,Color,No of Cylinder,Drive Type,Seating Capacity,Steering Type,No Door Numbers
Bangalore,Diesel,SUV,31344,2565000,1,Jeep,Jeep Compass,1970-01-01 00:00:00.000002021,Comprehensive,1956.0,Manual,17.1,5,Black,4,4x2,5,Power,5
Bangalore,Petrol,Sedan,50000,674000,1,Hyundai,Hyundai Xcent,1970-01-01 00:00:00.000002018,Third Party insurance,1197.0,Manual,20.14,5,Dark Black,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,12434,349000,1,Maruti,Maruti Wagon R,1970-01-01 00:00:00.000002015,Comprehensive,998.0,Manual,20.51,5,Brown,3,FWD,5,Power,5
Bangalore,Petrol,MUV,60000,1050000,2,Maruti,Maruti Ertiga,1970-01-01 00:00:00.000002019,Third Party insurance,1462.0,Manual,19.34,7,Dark Black,4,2WD,7,Power,5
Bangalore,Diesel,Sedan,12000,4425000,1,Mercedes-Benz,Mercedes-Benz C-Class,1970-01-01 00:00:00.000002019,Comprehensive,1950.0,Automatic,12.6,5,White,4,RWD,5,Power,4
Bangalore,Petrol,Hatchback,40987,405999,2,Maruti,Maruti Wagon R,1970-01-01 00:00:00.000002015,Comprehensive,998.0,Manual,20.51,5,White,3,FWD,5,Power,5
Bangalore,Petrol,Sedan,18157,4965000,1,BMW,BMW 5 Series,1970-01-01 00:00:00.000002020,Zero Dep,1998.0,Automatic,15.56,5,Blue,4,RWD,5,Power,4
Bangalore,Diesel,SUV,120000,1100000,3,Toyota,Toyota Fortuner,1970-01-01 00:00:00.000002011,Third Party insurance,2982.0,Manual,11.5,7,Dark Black,4,4WD,7,Power,5
Bangalore,Diesel,SUV,40000,1100000,2,Renault,Renault Duster,1970-01-01 00:00:00.000002020,Third Party insurance,1461.0,Automatic,19.87,5,Dark Black,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,89667,594000,1,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002016,Comprehensive,1197.0,Manual,18.6,5,White,4,FWD,5,Power,5
Bangalore,Diesel,Hatchback,120000,710000,1,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002017,Third Party insurance,1396.0,Manual,22.54,5,Dark Black,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,56997,692000,1,Maruti,Maruti Baleno,1970-01-01 00:00:00.000002017,Zero Dep,1197.0,Manual,21.4,5,Blue,4,FWD,5,Power,5
Bangalore,Petrol,Sedan,120000,650000,1,Hyundai,Hyundai Elantra,1970-01-01 00:00:00.000002013,Third Party insurance,1797.0,Manual,16.3,5,Dark Black,4,FWD,5,Power,4
Bangalore,Diesel,Sedan,59000,2089999,1,Audi,Audi A6,1970-01-01 00:00:00.000002015,Third Party insurance,1968.0,Automatic,18.53,5,White,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,18835,411000,1,Maruti,Maruti Alto 800,1970-01-01 00:00:00.000002021,Zero Dep,796.0,Manual,22.05,5,Silver,3,FWD,5,Power,5
Bangalore,Diesel,SUV,120000,650000,2,Mahindra,Mahindra Scorpio,1970-01-01 00:00:00.000002010,Third Party insurance,2179.0,Manual,12.05,7,Gray,4,2 WD,7,Power,5
Bangalore,Petrol,Hatchback,40000,3675000,1,Mini,Mini 3 DOOR,1970-01-01 00:00:00.000002016,Comprehensive,1998.0,Automatic,17.33,4,White,4,2WD,4,electric,3
Bangalore,Petrol,Hatchback,60932,610000,1,Tata,Tata Tiago,1970-01-01 00:00:00.000002019,Comprehensive,1199.0,Manual,23.84,5,Red,3,FWD,5,Power,5
Bangalore,Petrol,SUV,33539,1675000,2,Kia,Kia Seltos,1970-01-01 00:00:00.000002020,Comprehensive,1353.0,Automatic,16.5,5,White,4,FWD,5,Electric,5
Bangalore,Petrol,Hatchback,66837,530000,2,Tata,Tata Tiago,1970-01-01 00:00:00.000002018,Comprehensive,1199.0,Manual,23.84,5,Brown,3,FWD,5,Power,5
Bangalore,Diesel,Sedan,400,7990000,1,Mercedes-Benz,Mercedes-Benz E-Class,1970-01-01 00:00:00.000002022,Third Party,2925.0,Automatic,18.9,5,White,6,FWD,5,Electric,4
Bangalore,Petrol,Hatchback,60000,250000,2,Maruti,Maruti Alto,1970-01-01 00:00:00.000002008,Third Party insurance,796.0,Manual,19.7,5,Dark Black,3,FWD,5,Power,5
Bangalore,Petrol,Hatchback,44285,715000,1,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002019,Third Party insurance,1197.0,Manual,18.6,5,Grey,4,FWD,5,Power,5
Bangalore,Diesel,SUV,100000,3500000,2,Mercedes-Benz,Mercedes-Benz GL-Class,1970-01-01 00:00:00.000002014,Third Party insurance,2987.0,Automatic,11.3,7,Dark Black,6,AWD,7,Power,5
Bangalore,Diesel,SUV,25000,2250000,1,Tata,Tata New Safari,1970-01-01 00:00:00.000002021,Comprehensive,1956.0,Automatic,14.08,6,White,4,FWD,6,Power,5
Bangalore,Petrol,Hatchback,36735,625000,1,Hyundai,Hyundai Grand i10,1970-01-01 00:00:00.000002018,Comprehensive,1197.0,Manual,18.9,5,Blue,4,FWD,5,Power,5
Bangalore,Diesel,SUV,79000,2695000,1,Audi,Audi Q7,1970-01-01 00:00:00.000002015,Comprehensive,2967.0,Automatic,12.07,7,White,6,AWD,7,Power,5
Bangalore,Diesel,SUV,120000,650000,2,Mahindra,Mahindra Scorpio,1970-01-01 00:00:00.000002010,Third Party insurance,2179.0,Manual,12.05,8,Gray,4,FWD,8,Power,5
Bangalore,Petrol,Hatchback,10000,550000,1,Renault,Renault KWID,1970-01-01 00:00:00.000002022,Third Party insurance,999.0,Automatic,22.0,5,Dark Black,3,FWD,5,Electric,5
Bangalore,Diesel,SUV,53645,825000,1,Tata,Tata Nexon,1970-01-01 00:00:00.000002018,Comprehensive,1497.0,Manual,21.5,5,White,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,100000,220000,2,Hyundai,Hyundai Getz,1970-01-01 00:00:00.000002006,Third Party insurance,1341.0,Manual,15.3,5,Dark Black,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,53982,428000,1,Maruti,Maruti Celerio,1970-01-01 00:00:00.000002014,Comprehensive,998.0,Automatic,26.68,5,Dark Black,3,FWD,5,Electric,5
Bangalore,Diesel,Sedan,110000,695000,1,Skoda,Skoda Rapid,1970-01-01 00:00:00.000002014,Third Party insurance,1498.0,Manual,21.14,5,Black,4,FWD,5,Power,4
Bangalore,Petrol,SUV,37741,930000,2,Ford,Ford Ecosport,1970-01-01 00:00:00.000002019,Third Party insurance,1496.0,Manual,15.9,5,White,3,FWD,5,Electric,4
Bangalore,Petrol,Hatchback,17367,455000,1,Maruti,Maruti Alto 800,1970-01-01 00:00:00.000002021,Comprehensive,796.0,Manual,22.05,5,Silver,3,FWD,5,Power,5
Bangalore,Diesel,SUV,94000,1195000,1,Hyundai,Hyundai Creta,1970-01-01 00:00:00.000002017,Comprehensive,1582.0,Manual,19.67,5,Grey,4,FWD,5,Power,5
Bangalore,Diesel,SUV,33700,2175000,1,Tata,Tata Harrier,1970-01-01 00:00:00.000002021,Comprehensive,1956.0,Automatic,14.6,5,Grey,4,FWD,5,Power,5
